(51, 0, 0)
(51, 25, 0)
(51, 51, 0)
(25, 51, 0)
(0, 51, 0)
(0, 51, 25)
(0, 51, 51)
(0, 25, 51)
(0, 0, 51)
(25, 0, 51)
(51, 0, 51)
(51, 0, 25)
(0, 0, 0)
(102, 0, 0)
(102, 51, 0)
(102, 102, 0)
(51, 102, 0)
(0, 102, 0)
(0, 102, 51)
(0, 102, 102)
(0, 51, 102)
(0, 0, 102)
(51, 0, 102)
(102, 0, 102)
(102, 0, 51)
(32, 32, 32)
(153, 0, 0)
(153, 76, 0)
(153, 153, 0)
(76, 153, 0)
(0, 153, 0)
(0, 153, 76)
(0, 153, 153)
(0, 76, 153)
(0, 0, 153)
(76, 0, 153)
(153, 0, 153)
(153, 0, 76)
(64, 64, 64)
(204, 0, 0)
(204, 102, 0)
(204, 204, 0)
(102, 204, 0)
(0, 204, 0)
(0, 204, 102)
(0, 204, 204)
(0, 102, 204)
(0, 0, 204)
(102, 0, 204)
(204, 0, 204)
(204, 0, 102)
(96, 96, 96)
(255, 0, 0)
(255, 128, 0)
(255, 255, 0)
(128, 255, 0)
(0, 255, 0)
(0, 255, 128)
(0, 255, 255)
(0, 128, 255)
(0, 0, 255)
(127, 0, 255)
(255, 0, 255)
(255, 0, 127)
(128, 128, 128)
(255, 51, 51)
(255, 153, 51)
(255, 255, 51)
(153, 255, 51)
(51, 255, 51)
(51, 255, 153)
(51, 255, 255)
(51, 153, 255)
(51, 51, 255)
(153, 51, 255)
(255, 51, 255)
(255, 51, 153)
(160, 160, 160)
(255, 102, 102)
(255, 178, 102)
(255, 255, 102)
(178, 255, 102)
(102, 255, 102)
(102, 255, 178)
(102, 255, 255)
(102, 178, 255)
(102, 102, 255)
(178, 102, 255)
(255, 102, 255)
(255, 102, 178)
(192, 192, 192)
(255, 153, 153)
(255, 204, 153)
(255, 255, 153)
(204, 255, 153)
(153, 255, 153)
(153, 255, 204)
(153, 255, 255)
(153, 204, 255)
(153, 153, 255)
(204, 153, 255)
(255, 153, 255)
(255, 153, 204)
(224, 224, 224)
(255, 204, 204)
(255, 229, 204)
(255, 255, 204)
(229, 255, 204)
(204, 255, 204)
(204, 255, 229)
(204, 255, 255)
(204, 229, 255)
(204, 204, 255)
(229, 204, 255)
(255, 204, 255)
(255, 204, 229)
(255, 255, 255)
